OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 01/2020 To 11/2023 | Facility=MCO, ACY, AMA, ANC, APA, ATL, AUS, AVL, BCT, BDL, BED, BFI, BFM, BJC, BKL, BNA, BOS, BTR, BUF, BWI, BZN, CHO, CHS, CID, CMA, CMH, DAL, DCA, DEN, DSM, DTW, EGE, EWR, EYW, FAT, FAY, FDK, FLL, FSD, FSM, FTW, FTY, FXE, GEG, GRB, GRR, GSO, GYY, HEF, HNL, HOU, HPN, HSV, HXD, IAD, IAH, ICT, IFP, IND, INT, ISM, ITO, IXD, JAX, KOA, LAS, LAX, LEX, LFT, LGB, LIH, LIT, LRD, LUK, MAF, MCI, MDW, MEM, MHT, MIA, MKC, MKE, MMU, MOB, MSP, MSY, NEW, OAK, OGG, OMA, OPF, ORD, ORF, PBI, PDK, PIE, PSP, PVU, PWK, RDU, ROA, RST, SAF, SAN, SAT, SAV, SBA, SDL, SEA, SFO, SHV, SJC, SLC, STL, STP, STS, STT, SUS, SWF, TEB, TMB, TPA, TTN, TXK, TYS, UGN, VNY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
Jan-20,AVL,NC,ASO,ES,Combined TRACON & Tower with Radar,981,797,792,104,"2,674",9,8,1,1,19,0,12,886,32,930,0,37,8,0,45,"1,652",11,"1,663","5,267","5,331",
Jan-20,BCT,FL,ASO,ES,Federal Contract Tower,0,"1,253","1,948",0,"3,201",0,0,0,2,2,0,2,"1,733",0,"1,735",0,12,"1,258",32,"1,302","1,628",66,"1,694","6,630","7,934",
Jan-20,BDL,CT,ANE,EN,Towers with Radar,"5,135",920,551,60,"6,666",2,13,46,5,66,0,18,257,188,463,0,14,172,10,196,0,0,0,"7,129","7,391",
Jan-20,BED,MA,ANE,EN,Towers with Radar,44,"1,541","1,804",20,"3,409",1,9,12,0,22,0,214,"2,098",7,"2,319",0,23,301,7,331,"3,176",0,"3,176","8,904","9,257",
Jan-20,BFI,WA,ANM,WE,Towers with Radar,469,"1,687","2,180",24,"4,360",62,29,153,2,246,0,219,"2,213",9,"2,441",0,244,469,16,729,"3,795",18,"3,813","10,614","11,589",
Jan-20,BFM,AL,ASO,CE,Federal Contract Tower,195,157,400,453,"1,205",12,3,6,4,25,0,34,245,334,613,0,103,25,89,217,206,"2,170","2,376","4,194","4,436",
Jan-20,BJC,CO,ANM,WE,Towers with Radar,0,467,"1,088",11,"1,566",0,6,39,2,47,0,12,"5,135",35,"5,182",0,39,220,4,263,"9,111",162,"9,273","16,021","16,331",
Jan-20,BKL,OH,AGL,CE,Federal Contract Tower,0,316,340,11,667,0,2,3,0,5,0,197,334,3,534,0,409,85,3,497,590,0,590,"1,791","2,293",
Jan-20,BNA,TN,ASO,CE,Combined TRACON & Tower with Radar,"13,361","2,069","1,953",122,"17,505",17,27,63,6,113,0,20,475,133,628,0,167,236,19,422,0,0,0,"18,133","18,668",
Jan-20,BOS,MA,ANE,EN,Towers with Radar,"28,692","3,473",580,6,"32,751",28,60,65,2,155,0,411,99,19,529,1,372,416,25,814,0,0,0,"33,280","34,249",
Jan-20,BTR,LA,ASW,CE,Combined TRACON & Tower with Radar,822,710,"1,209",62,"2,803",29,12,39,7,87,7,15,754,12,788,0,8,159,7,174,277,6,283,"3,874","4,135",
Jan-20,BUF,NY,AEA,CE,Combined TRACON & Tower with Radar,"3,679","1,315",357,8,"5,359",20,3,4,3,30,0,74,251,11,336,0,34,72,4,110,0,0,0,"5,695","5,835",
Jan-20,BWI,MD,AEA,EN,Towers with Radar,"17,011","2,337",693,38,"20,079",21,5,14,0,40,0,16,146,24,186,0,158,616,69,843,0,0,0,"20,265","21,148",
Jan-20,BZN,MT,ANM,WE,Federal Contract Tower,"1,480","1,359","1,006",16,"3,861",0,0,0,0,0,0,75,"1,847",3,"1,925",0,3,14,0,17,"2,544",0,"2,544","8,330","8,347",
Jan-20,CHO,VA,AEA,EN,Federal Contract Tower,499,"1,911","1,340",118,"3,868",0,0,0,0,0,0,249,"1,562",56,"1,867",2,223,166,63,454,"2,592","1,028","3,620","9,355","9,809",
Jan-20,CHS,SC,ASO,ES,Combined TRACON & Tower with Radar,"3,539","1,352","1,579","1,051","7,521",12,10,39,8,69,0,99,945,82,"1,126",0,19,57,8,84,251,770,"1,021","9,668","9,821",
Jan-20,CID,IA,ACE,CE,Combined TRACON & Tower with Radar,"1,367",844,332,6,"2,549",0,0,0,0,0,1,3,237,3,244,0,5,4,0,9,366,0,366,"3,159","3,168",
Jan-20,CMA,CA,AWP,WE,Towers with Radar,0,205,941,25,"1,171",0,0,273,196,469,0,16,"5,293",35,"5,344",0,0,657,49,706,"8,029",62,"8,091","14,606","15,781",
Jan-20,CMH,OH,AGL,CE,Combined TRACON & Tower with Radar,"6,991","2,091","1,114",21,"10,217",94,116,166,6,382,0,52,164,7,223,0,218,494,7,719,0,0,0,"10,440","11,541",
Jan-20,DAL,TX,ASW,CE,Towers with Radar,"12,475","2,559","3,698",50,"18,782",15,114,537,13,679,0,82,273,18,373,0,417,658,307,"1,382",0,0,0,"19,155","21,216",
Jan-20,DCA,DC,AEA,EN,Towers with Radar,"21,386","3,565",198,25,"25,174",10,1,29,1,41,0,12,3,184,199,0,"1,102","1,169","1,643","3,914",0,0,0,"25,373","29,328",
Jan-20,DEN,CO,ANM,WE,Towers with Radar,"38,219","13,209",265,8,"51,701",64,82,103,4,253,1,39,72,2,114,0,16,37,12,65,0,0,0,"51,815","52,133",
Jan-20,DSM,IA,ACE,CE,Combined TRACON & Tower with Radar,"2,864",524,"1,071",56,"4,515",16,7,85,0,108,4,16,241,8,269,1,171,112,4,288,80,30,110,"4,894","5,290",
Jan-20,DTW,MI,AGL,CE,Towers with Radar,"25,640","5,169",314,0,"31,123",45,14,16,0,75,0,0,16,2,18,0,0,39,10,49,0,0,0,"31,141","31,265",
Jan-20,EGE,CO,ANM,WE,Federal Contract Tower,868,"1,309","1,213",12,"3,402",0,0,0,0,0,0,4,396,256,656,0,0,0,0,0,296,208,504,"4,562","4,562",
Jan-20,EWR,NJ,AEA,EN,Towers with Radar,"29,092","7,775",318,0,"37,185",12,35,26,1,74,0,92,391,39,522,0,713,"3,323","1,348","5,384",0,0,0,"37,707","43,165",
Jan-20,EYW,FL,ASO,ES,Federal Contract Tower,"1,733",466,"1,037",20,"3,256",0,8,2,436,446,0,144,"1,750",33,"1,927",0,107,20,"1,468","1,595",166,12,178,"5,361","7,402",
Jan-20,FAT,CA,AWP,WE,Combined TRACON & Tower with Radar,"1,851",744,"1,015",146,"3,756",1,3,1,1,6,1,118,"1,374",102,"1,595",0,46,230,2,278,851,144,995,"6,346","6,630",
Jan-20,FAY,NC,ASO,EN,Combined TRACON & Tower with Radar,465,252,486,294,"1,497",0,0,0,3,3,0,5,521,41,567,0,10,160,16,186,418,157,575,"2,639","2,828",
Jan-20,FDK,MD,AEA,EN,Federal Contract Tower,0,62,322,8,392,0,0,4,0,4,0,72,"2,076",16,"2,164",0,27,63,54,144,"4,506",14,"4,520","7,076","7,224",
Jan-20,FLL,FL,ASO,ES,Towers with Radar,"24,353","2,853","2,082",26,"29,314",11,4,5,4,24,0,347,468,40,855,0,38,"1,161",63,"1,262",0,0,0,"30,169","31,455",
Jan-20,FSD,SD,AGL,CE,Combined TRACON & Tower with Radar,999,"1,796",987,168,"3,950",6,6,2,1,15,0,71,255,8,334,0,190,32,0,222,150,26,176,"4,460","4,697",
Jan-20,FSM,AR,ASW,CE,Combined TRACON & Tower with Radar,69,331,405,163,968,1,11,3,4,19,0,20,398,45,463,0,35,20,8,63,798,94,892,"2,323","2,405",
Jan-20,FTW,TX,ASW,CE,Towers with Radar,14,698,"2,317",159,"3,188",44,27,92,100,263,0,97,"3,353",12,"3,462",0,279,431,18,728,"6,387",30,"6,417","13,067","14,058",
Jan-20,FTY,GA,ASO,ES,Federal Contract Tower,0,334,"1,462",0,"1,796",0,0,0,0,0,0,2,677,0,679,0,0,642,6,648,"1,196",0,"1,196","3,671","4,319",
Jan-20,FXE,FL,ASO,ES,Towers with Radar,2,"1,244","3,267",2,"4,515",1,6,96,0,103,0,274,"5,185",9,"5,468",0,21,416,2,439,"5,323",3,"5,326","15,309","15,851",
Jan-20,GEG,WA,ANM,WE,Combined TRACON & Tower with Radar,"3,936",814,425,28,"5,203",15,43,50,384,492,1,4,103,8,116,0,52,103,206,361,118,14,132,"5,451","6,304",
Jan-20,GRB,WI,AGL,CE,Combined TRACON & Tower with Radar,542,780,768,28,"2,118",2,3,0,0,5,0,5,324,8,337,0,20,6,1,27,474,22,496,"2,951","2,983",
Jan-20,GRR,MI,AGL,CE,Towers with Radar,"3,271",692,"1,184",15,"5,162",44,13,16,2,75,0,28,294,7,329,0,7,12,3,22,343,6,349,"5,840","5,937",
Jan-20,GSO,NC,ASO,ES,Combined TRACON & Tower with Radar,"2,191","2,065","1,081",89,"5,426",8,3,17,4,32,2,21,767,14,804,0,16,44,1,61,487,14,501,"6,731","6,824",
Jan-20,GYY,IN,AGL,CE,Federal Contract Tower,29,213,465,5,712,0,0,1,0,1,0,2,192,31,225,0,7,110,1,118,164,18,182,"1,119","1,238",
Jan-20,HEF,VA,AEA,EN,Towers with Radar,0,328,852,53,"1,233",0,0,1,1,2,0,475,"1,579",27,"2,081",0,17,24,23,64,"2,519",49,"2,568","5,882","5,948",
Jan-20,HNL,HI,AWP,WE,Towers with Radar,"14,305","3,104",702,"1,352","19,463",0,0,0,0,0,0,"3,409","2,861",220,"6,490",0,0,1,7,8,3,2,5,"25,958","25,966",
Jan-20,HOU,TX,ASW,CE,Towers with Radar,"10,205","2,005","3,155",15,"15,380",26,18,47,16,107,0,82,748,15,845,0,801,364,94,"1,259",0,0,0,"16,225","17,591",
Jan-20,HPN,NY,AEA,EN,Towers with Radar,"1,750","3,310","2,617",8,"7,685",5,8,8,0,21,0,152,"2,319",6,"2,477",0,15,225,7,247,"1,005",0,"1,005","11,167","11,435",
Jan-20,HSV,AL,ASO,CE,Combined TRACON & Tower with Radar,"1,363",660,475,499,"2,997",1,1,15,1,18,0,10,555,163,728,0,9,32,24,65,356,"1,170","1,526","5,251","5,334",
Jan-20,HXD,SC,ASO,ES,Federal Contract Tower,350,200,480,10,"1,040",4,0,0,0,4,0,6,782,13,801,4,0,54,113,171,240,28,268,"2,109","2,284",
Jan-20,IAD,VA,AEA,EN,Towers with Radar,"13,435","7,618","2,179",18,"23,250",17,15,22,7,61,0,13,51,6,70,0,118,225,62,405,0,0,0,"23,320","23,786",
Jan-20,IAH,TX,ASW,CE,Towers with Radar,"32,386","6,913",606,2,"39,907",35,14,4,0,53,1,23,52,5,81,0,50,191,8,249,0,0,0,"39,988","40,290",
Jan-20,ICT,KS,ACE,CE,Combined TRACON & Tower with Radar,"1,618","1,396","1,695",868,"5,577",0,10,8,28,46,2,59,640,47,748,1,43,72,3,119,634,598,"1,232","7,557","7,722",
Jan-20,IFP,AZ,AWP,WE,Federal Contract Tower,120,0,33,9,162,0,0,0,0,0,0,179,531,92,802,0,11,26,2,39,62,26,88,"1,052","1,091",
Jan-20,IND,IN,AGL,CE,Combined TRACON & Tower with Radar,"10,589","1,826",941,23,"13,379",7,15,43,0,65,2,"2,022",81,7,"2,112",0,37,45,4,86,0,0,0,"15,491","15,642",
Jan-20,INT,NC,ASO,ES,Federal Contract Tower,13,456,344,9,822,0,2,4,0,6,0,107,"1,104",62,"1,273",0,300,80,4,384,"1,220",16,"1,236","3,331","3,721",
Jan-20,ISM,FL,ASO,ES,Federal Contract Tower,0,378,"2,820",10,"3,208",0,0,0,0,0,0,92,"3,824",0,"3,916",0,138,"1,654",0,"1,792","4,653",6,"4,659","11,783","13,575",
Jan-20,ITO,HI,AWP,WE,Combined TRACON & Tower with Radar,"1,378",258,56,73,"1,765",0,0,2,0,2,0,17,"1,364",52,"1,433",0,3,273,2,278,674,144,818,"4,016","4,296",
Jan-20,IXD,KS,ACE,CE,Federal Contract Tower,0,172,435,11,618,0,0,22,0,22,0,18,645,58,721,0,10,58,12,80,"1,076",8,"1,084","2,423","2,525",
Jan-20,JAX,FL,ASO,ES,Combined TRACON & Tower with Radar,"5,011","1,219",894,390,"7,514",17,39,129,7,192,0,92,217,79,388,0,64,155,9,228,30,401,431,"8,333","8,753",
Jan-20,KOA,HI,AWP,WE,Federal Contract Tower,"2,836",451,326,196,"3,809",0,3,0,0,3,0,"1,303","1,250",95,"2,648",0,16,39,0,55,"4,482",386,"4,868","11,325","11,383",
Jan-20,LAS,NV,AWP,WE,Towers with Radar,"32,502","3,373","3,717",51,"39,643",17,23,88,6,134,0,"6,314",378,29,"6,721",0,"1,131",700,12,"1,843",0,0,0,"46,364","48,341",
Jan-20,LAX,CA,AWP,WE,Towers with Radar,"50,868","3,373","1,352",13,"55,606",18,6,2,0,26,0,1,130,11,142,0,8,"1,403",108,"1,519",0,0,0,"55,748","57,293",
Jan-20,LEX,KY,ASO,CE,Combined TRACON & Tower with Radar,"1,115","1,221","1,032",42,"3,410",0,0,2,2,4,0,102,841,24,967,0,11,5,0,16,726,36,762,"5,139","5,159",
Jan-20,LFT,LA,ASW,CE,Combined TRACON & Tower with Radar,426,521,700,43,"1,690",0,1,0,0,1,0,563,485,19,"1,067",0,76,63,0,139,324,8,332,"3,089","3,229",
Jan-20,LGB,CA,AWP,WE,Towers with Radar,"2,917",276,"2,094",36,"5,323",0,4,18,2,24,0,309,"6,651",18,"6,978",0,11,"1,188",33,"1,232","12,943",0,"12,943","25,244","26,500",
Jan-20,LIH,HI,AWP,WE,Federal Contract Tower,"2,436",371,117,126,"3,050",2,0,0,0,2,0,"3,556",239,21,"3,816",0,0,4,4,8,976,45,"1,021","7,887","7,897",
Jan-20,LIT,AR,ASW,CE,Combined TRACON & Tower with Radar,"1,851","1,136","1,525",390,"4,902",24,23,24,12,83,0,86,533,41,660,0,219,91,2,312,88,178,266,"5,828","6,223",
Jan-20,LRD,TX,ASW,CE,Federal Contract Tower,221,588,580,270,"1,659",0,0,0,0,0,0,69,777,128,974,0,2,51,4,57,414,"2,484","2,898","5,531","5,588",
Jan-20,LUK,OH,ASO,CE,Federal Contract Tower,2,946,"1,361",17,"2,326",0,2,2,0,4,0,77,"1,309",24,"1,410",0,153,144,0,297,"1,656",12,"1,668","5,404","5,705",
Jan-20,MAF,TX,ASW,CE,Combined TRACON & Tower with Radar,"1,487",511,"1,195",554,"3,747",1,8,42,3,54,0,9,511,101,621,0,63,328,1,392,190,501,691,"5,059","5,505",
Jan-20,MCI,MO,ACE,CE,Combined TRACON & Tower with Radar,"8,606",377,242,33,"9,258",28,5,8,4,45,0,3,17,4,24,0,8,9,8,25,12,0,12,"9,294","9,364",
Jan-20,MCO,FL,ASO,ES,Towers with Radar,"29,984","1,295","1,195",32,"32,506",17,0,1,0,18,2,20,158,36,216,0,4,29,2,35,0,0,0,"32,722","32,775",
Jan-20,MDW,IL,AGL,CE,Towers with Radar,"12,267","1,679","1,514",8,"15,468",20,11,13,0,44,0,22,219,12,253,0,66,58,7,131,0,0,0,"15,721","15,896",
Jan-20,MEM,TN,ASO,CE,Towers with Radar,"15,548","1,521","1,135",105,"18,309",56,4,9,0,69,0,10,86,8,104,0,33,120,1,154,0,0,0,"18,413","18,636",
Jan-20,MHT,NH,ANE,EN,Towers with Radar,"1,401","1,196",513,24,"3,134",0,6,35,1,42,0,138,306,6,450,0,4,262,1,267,364,0,364,"3,948","4,257",
Jan-20,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"32,327","4,212","1,336",34,"37,909",23,1,2,1,27,3,27,211,6,247,0,7,830,30,867,0,0,0,"38,156","39,050",
Jan-20,MKC,MO,ACE,CE,Towers with Radar,2,"1,257","1,393",32,"2,684",1,2,1,0,4,0,156,"1,894",45,"2,095",0,172,515,10,697,"1,188",11,"1,199","5,978","6,679",
Jan-20,MKE,WI,AGL,CE,Combined TRACON & Tower with Radar,"5,214","2,210",596,80,"8,100",3,20,37,0,60,1,53,94,25,173,0,14,25,10,49,28,8,36,"8,309","8,418",
Jan-20,MMU,NJ,AEA,EN,Towers with Radar,0,721,"1,328",1,"2,050",19,418,455,1,893,0,4,"1,499",0,"1,503",0,14,437,0,451,"2,258",0,"2,258","5,811","7,155",
Jan-20,MOB,AL,ASO,CE,Combined TRACON & Tower with Radar,368,773,229,"2,229","3,599",36,10,49,71,166,0,7,218,715,940,0,27,37,29,93,466,"1,868","2,334","6,873","7,132",
Jan-20,MSP,MN,AGL,CE,Towers with Radar,"25,317","5,627",596,51,"31,591",20,34,106,0,160,3,11,8,1,23,0,185,25,1,211,0,0,0,"31,614","31,985",
Jan-20,MSY,LA,ASW,CE,Combined TRACON & Tower with Radar,"9,994",519,939,29,"11,481",3,8,16,6,33,0,144,82,24,250,0,218,146,99,463,0,0,0,"11,731","12,227",
Jan-20,NEW,LA,ASW,CE,Towers with Radar,0,385,"2,063",95,"2,543",4,0,7,3,14,0,110,"1,133",36,"1,279",0,53,26,28,107,"2,334",156,"2,490","6,312","6,433",
Jan-20,OAK,CA,AWP,WE,Towers with Radar,"10,104","2,863","1,379",8,"14,354",4,52,171,0,227,0,209,"1,341",19,"1,569",0,88,841,28,957,"2,243",28,"2,271","18,194","19,378",
Jan-20,OGG,HI,AWP,WE,Towers with Radar,"5,108",859,295,68,"6,330",1,1,0,0,2,0,"4,157",697,56,"4,910",0,78,13,2,93,905,4,909,"12,149","12,244",
Jan-20,OMA,NE,ACE,CE,Towers with Radar,"4,442","1,501",846,120,"6,909",1,2,0,3,6,0,7,157,10,174,0,67,41,0,108,137,6,143,"7,226","7,340",
Jan-20,OPF,FL,ASO,ES,Federal Contract Tower,8,"1,538","3,857",102,"5,505",0,0,0,0,0,0,132,"3,469",282,"3,883",0,4,788,0,792,"3,361",138,"3,499","12,887","13,679",
Jan-20,ORD,IL,AGL,CE,Towers with Radar,"51,714","19,451",241,0,"71,406",43,27,1,0,71,0,1,10,1,12,0,28,41,0,69,0,0,0,"71,418","71,558",
Jan-20,ORF,VA,AEA,EN,Combined TRACON & Tower with Radar,"2,954","1,703",824,12,"5,493",32,4,9,183,228,9,7,212,8,236,0,2,38,172,212,14,0,14,"5,743","6,183",
Jan-20,PBI,FL,ASO,ES,Combined TRACON & Tower with Radar,"5,889","3,079","3,352",75,"12,395",0,1,15,2,18,2,148,"1,385",56,"1,591",0,86,359,19,464,0,0,0,"13,986","14,468",
Jan-20,PDK,GA,ASO,ES,Towers with Radar,2,"1,641","3,646",9,"5,298",1,10,18,6,35,0,79,"3,843",11,"3,933",0,40,616,21,677,"4,142",0,"4,142","13,373","14,085",
Jan-20,PIE,FL,ASO,ES,Towers with Radar,"1,188",564,"2,532",340,"4,624",6,2,92,3,103,0,15,"2,061",445,"2,521",0,16,410,46,472,"5,241",382,"5,623","12,768","13,343",
Jan-20,PSP,CA,AWP,WE,Towers with Radar,"2,564","1,213",925,32,"4,734",4,10,13,3,30,0,83,"1,135",128,"1,346",0,110,181,7,298,564,24,588,"6,668","6,996",
Jan-20,PVU,UT,ANM,WE,Federal Contract Tower,132,107,727,10,976,0,4,11,0,15,0,11,"2,546",21,"2,578",0,181,127,19,327,"4,054",26,"4,080","7,634","7,976",
Jan-20,PWK,IL,AGL,CE,Towers with Radar,0,955,"1,322",0,"2,277",0,0,1,0,1,0,37,"1,000",10,"1,047",0,1,36,0,37,"1,554",0,"1,554","4,878","4,916",
Jan-20,RDU,NC,ASO,EN,Combined TRACON & Tower with Radar,"10,890","1,808","2,160",110,"14,968",13,1,3,1,18,0,24,"2,029",202,"2,255",0,8,30,1,39,109,44,153,"17,376","17,433",
Jan-20,ROA,VA,AEA,EN,Combined TRACON & Tower with Radar,315,"1,148",537,27,"2,027",3,3,3,3,12,1,3,617,14,635,0,12,28,12,52,"1,036",32,"1,068","3,730","3,794",
Jan-20,RST,MN,AGL,CE,Combined TRACON & Tower with Radar,186,851,638,20,"1,695",0,3,2,0,5,0,11,255,0,266,0,52,21,0,73,560,10,570,"2,531","2,609",
Jan-20,SAF,NM,ASW,WE,Federal Contract Tower,411,195,592,101,"1,299",0,0,0,1,1,0,42,993,113,"1,148",2,54,16,2,74,"1,919",183,"2,102","4,549","4,624",
Jan-20,SAN,CA,AWP,WE,Towers with Radar,"16,873","1,038",596,25,"18,532",6,3,4,3,16,5,7,122,31,165,0,81,"1,392","1,188","2,661",0,0,0,"18,697","21,374",
Jan-20,SAT,TX,ASW,CE,Combined TRACON & Tower with Radar,"7,680","1,148","2,389",238,"11,455",13,2,10,5,30,0,320,983,91,"1,394",1,217,400,91,709,0,0,0,"12,849","13,588",
Jan-20,SAV,GA,ASO,ES,Combined TRACON & Tower with Radar,"2,167","1,311","1,930",363,"5,771",4,1,2,8,15,0,97,"1,378",88,"1,563",0,57,44,6,107,"1,500",22,"1,522","8,856","8,978",
Jan-20,SBA,CA,AWP,WE,Combined TRACON & Tower with Radar,878,"1,481","1,204",58,"3,621",3,0,3,0,6,0,53,"2,312",36,"2,401",0,24,31,13,68,"3,680",32,"3,712","9,734","9,808",
Jan-20,SDL,AZ,AWP,WE,Towers with Radar,5,"1,729","3,434",29,"5,197",0,1,8,0,9,3,120,"5,440",44,"5,607",0,12,497,1,510,"6,549",2,"6,551","17,355","17,874",
Jan-20,SEA,WA,ANM,WE,Towers with Radar,"35,179",304,80,1,"35,564",54,75,56,0,185,0,5,27,0,32,0,3,29,0,32,0,0,0,"35,596","35,813",
Jan-20,SFO,CA,AWP,WE,Towers with Radar,"30,761","5,005",755,22,"36,543",13,4,2,0,19,0,42,137,205,384,0,36,279,21,336,0,0,0,"36,927","37,282",
Jan-20,SHV,LA,ASW,CE,Combined TRACON & Tower with Radar,683,757,549,159,"2,148",1,4,5,0,10,0,43,292,29,364,0,24,44,2,70,71,9,80,"2,592","2,672",
Jan-20,SJC,CA,AWP,WE,Towers with Radar,"12,138","1,807","1,917",6,"15,868",0,201,274,28,503,0,26,870,2,898,0,100,602,94,796,172,12,184,"16,950","18,249",
Jan-20,SLC,UT,ANM,WE,Towers with Radar,"19,260","5,565","2,376",116,"27,317",1,0,9,0,10,1,276,"1,839",71,"2,187",0,223,556,227,"1,006",32,0,32,"29,536","30,552",
Jan-20,STL,MO,ACE,CE,Towers with Radar,"11,462","3,467",366,82,"15,377",19,127,181,10,337,0,36,58,36,130,0,33,133,8,174,6,12,18,"15,525","16,036",
Jan-20,STP,MN,AGL,CE,Towers with Radar,0,299,925,12,"1,236",0,0,17,3,20,0,39,347,36,422,0,39,96,2,137,396,142,538,"2,196","2,353",
Jan-20,STS,CA,AWP,WE,Towers with Radar,563,199,557,13,"1,332",0,0,0,0,0,3,240,"2,232",31,"2,506",0,74,58,0,132,"2,390",16,"2,406","6,244","6,376",
Jan-20,STT,VI,ASO,ES,Towers with Radar,859,769,271,1,"1,900",0,3,0,0,3,0,"1,864","1,119",12,"2,995",1,362,11,4,378,210,6,216,"5,111","5,492",
Jan-20,SUS,MO,ACE,CE,Towers with Radar,2,827,"1,405",44,"2,278",0,2,11,0,13,0,17,"1,604",23,"1,644",0,13,122,3,138,"2,949",6,"2,955","6,877","7,028",
Jan-20,SWF,NY,AEA,EN,Federal Contract Tower,300,436,392,108,"1,236",0,4,26,0,30,0,59,824,128,"1,011",0,17,200,14,231,422,304,726,"2,973","3,234",
Jan-20,TEB,NJ,AEA,EN,Towers with Radar,5,"5,820","5,480",9,"11,314","8,100","2,072",91,0,"10,263",0,179,791,10,980,0,77,235,5,317,0,0,0,"12,294","22,874",
Jan-20,TMB,FL,ASO,ES,Towers with Radar,1,333,"2,086",7,"2,427",0,2,9,0,11,0,34,"8,485",18,"8,537",0,2,230,3,235,"9,620",0,"9,620","20,584","20,830",
Jan-20,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,"15,609","1,622","1,556",27,"18,814",16,4,10,3,33,27,44,469,13,553,1,206,313,101,621,0,0,0,"19,367","20,021",
Jan-20,TTN,NJ,AEA,EN,Federal Contract Tower,459,277,585,35,"1,356",0,0,1,0,1,0,0,"3,961",12,"3,973",0,0,256,2,258,"3,058",18,"3,076","8,405","8,664",
Jan-20,TXK,AR,ASW,CE,Federal Contract Tower,0,265,404,53,722,0,20,52,14,86,0,71,266,15,352,0,75,29,0,104,722,92,814,"1,888","2,078",
